日付,検査人数,陽性者数,非確定,備考
2020/03/23,74,,,陽性率(第9回新型コロナウイルス感染症対策本部会議資料)から算出
2020/03/24,123,,,陽性率(第9回新型コロナウイルス感染症対策本部会議資料)から算出
2020/03/25,114,,,陽性率(第9回新型コロナウイルス感染症対策本部会議資料)から算出
2020/03/26,255,,,陽性率(第9回新型コロナウイルス感染症対策本部会議資料)から算出
2020/03/27,0,,,陽性率(第9回新型コロナウイルス感染症対策本部会議資料)から算出
2020/03/28,93,,,陽性率(第9回新型コロナウイルス感染症対策本部会議資料)から算出
2020/03/29,37,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/03/30,63,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/03/31,179,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/01,90,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/02,147,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/03,133,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/04,163,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/05,53,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/06,74,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/07,216,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/08,224,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/09,242,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/10,178,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/11,199,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/12,79,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/13,81,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/14,197,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/15,176,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/16,177,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/17,216,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/18,217,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/19,94,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/20,130,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/21,230,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/22,210,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/23,202,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/24,172,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/25,151,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/26,67,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/27,95,,,第9回新型コロナウイルス感染症対策本部会議資料
2020/04/28,173,,,第9回新型コロナウイルス感染症対策本部会議資料
